,,A,A,A,A,A,B,B,B,B,B
,,Mon,Tue,Wed,Thu,Fri,Mon,Tue,Wed,Thu,Fri
1,Subject,,,,,,,,,,
1,Class,9,TOK 7-2,,,5C,9,,,,
1,Start,09:20:00,09:20:00,,,09:20:00,09:20:00,,,,
1,End,10:15:00,10:15:00,,,10:15:00,10:15:00,,,,
2,Subject,,,,,,,,,,
2,Class,,,9-YA,6F,8CE,TOK 4-1,8CE,5C,,8CE
2,Start,,,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,,10:15:00
2,End,,,11:10:00,11:10:00,11:10:00,11:10:00,11:10:00,11:10:00,,11:10:00
3,Subject,,,,,,,,,,
3,Class,10,8CE,10,TOK 7-2,,10,6F,10,6F,
3,Start,11:25:00,11:10:00,11:25:00,11:25:00,,11:25:00,11:10:00,11:25:00,11:10:00,
3,End,12:20:00,12:05:00,12:20:00,12:20:00,,12:20:00,12:05:00,12:20:00,12:05:00,
4,Subject,,,,,,,,,,
4,Class,,TOK 4-1,9,,,,TOK 7-2,9,,
4,Start,,12:20:00,12:20:00,,,,12:20:00,12:20:00,,
4,End,,13:15:00,13:15:00,,,,13:15:00,13:15:00,,
5,Subject,,,,,,,,,,
5,Class,6F,SS Fit Club,,,,,,,,
5,Start,13:15:00,13:30:00,,,,,,,,
5,End,14:10:00,14:00:00,,,,,,,,
6,Subject,,,,,,,,,,
6,Class,,5C,5C,TOK 4-1,TOK mtg,,5C,,TOK 4-1,
6,Start,,14:10:00,14:10:00,14:10:00,14:10:00,,14:10:00,,14:10:00,
6,End,,15:05:00,15:05:00,15:05:00,15:05:00,,15:05:00,,15:05:00,
7,Subject,,,,,,,,,,
7,Class,,Dept Mtg,,,,6F,Colabaty,,TOK 7-2,
7,Start,,15:05:00,,,,14:10:00,15:05:00,,15:05:00,
7,End,,16:00:00,,,,15:05:00,16:00:00,,16:00:00,
